gene,WT_growth,KO_growth,Percent_change
SGL_RS08870,0.0,0.0,0
sll5079,0.0,0.0,0
SGL_RS18090,0.0,0.0,0
SGL_RS08755,0.0,0.0,0
SGL_RS08880,0.0,0.0,0
SGL_RS12525,0.0,0.0,0
SGL_RS08885,0.0,0.0,0
SGL_RS08865,0.0,0.0,0
SGL_RS04250,0.0,0.0,0
SGL_RS02105,0.0,0.0,0
SGL_RS13035,0.0,0.0,0
SGL_RS12820,0.0,0.0,0
SGL_RS09315,0.0,0.0,0
SGL_RS06895,0.0,0.0,0
SGL_RS16795,0.0,0.0,0
SGL_RS11680,0.0,0.0,0
SGL_RS07100,0.0,0.0,0
SGL_RS14980,0.0,0.0,0
SGL_RS12975,0.0,0.0,0
SGL_RS04625,0.0,0.0,0
SGL_RS04620,0.0,0.0,0
SGL_RS04630,0.0,0.0,0
SGL_RS08620,0.0,0.0,0
SGL_RS08625,0.0,0.0,0
SGL_RS16085,0.0,0.0,0
SGL_RS06265,0.0,0.0,0
SGL_RS06270,0.0,0.0,0
SGL_RS08660,0.0,0.0,0
SGL_RS16100,0.0,0.0,0
SGL_RS08060,0.0,0.0,0
SGL_RS08655,0.0,0.0,0
SGL_RS04515,0.0,0.0,0
SGL_RS13380,0.0,0.0,0
SGL_RS14435,0.0,0.0,0
SGL_RS11415,0.0,0.0,0
SGL_RS14425,0.0,0.0,0
SGL_RS02315,0.0,0.0,0
SGL_RS06450,0.0,0.0,0
SGL_RS13290,0.0,0.0,0
SGL_RS14430,0.0,0.0,0
SGL_RS07775,0.0,0.0,0
SGL_RS10365,0.0,0.0,0
SGL_RS13250,0.0,0.0,0
SGL_RS02445,0.0,0.0,0
SGL_RS05125,0.0,0.0,0
SGL_RS16700,0.0,0.0,0
SGL_RS16275,0.0,0.0,0
SGL_RS11020,0.0,0.0,0
SGL_RS01875,0.0,0.0,0
SGL_RS16695,0.0,0.0,0
SGL_RS15825,0.0,0.0,0
SGL_RS13435,0.0,0.0,0
SGL_RS13810,0.0,0.0,0
SGL_RS03970,0.0,0.0,0
SGL_RS06105,0.0,0.0,0
SGL_RS03020,0.0,0.0,0
SGL_RS08700,0.0,0.0,0
SGL_RS16270,0.0,0.0,0
SGL_RS16570,0.0,0.0,0
SGL_RS10015,0.0,0.0,0
SGL_RS16580,0.0,0.0,0
SGL_RS16565,0.0,0.0,0
SGL_RS11825,0.0,0.0,0
SGL_RS16585,0.0,0.0,0
SGL_RS15100,0.0,0.0,0
SGL_RS09335,0.0,0.0,0
SGL_RS14155,0.0,0.0,0
SGL_RS13045,0.0,0.0,0
SGL_RS14400,0.0,0.0,0
SGL_RS08850,0.0,0.0,0
SGL_RS08035,0.0,0.0,0
SGL_RS04015,0.0,0.0,0
SGL_RS14920,0.0,0.0,0
SGL_RS05435,0.0,0.0,0
SGL_RS07090,0.0,0.0,0
SGL_RS12475,0.0,0.0,0
SGL_RS05620,0.0,0.0,0
SGL_RS16430,0.0,0.0,0
SGL_RS16435,0.0,0.0,0
SGL_RS10905,0.0,0.0,0
SGL_RS15495,0.0,0.0,0
SGL_RS10915,0.0,0.0,0
SGL_RS10910,0.0,0.0,0
SGL_RS12585,0.0,0.0,0
SGL_RS14915,0.0,0.0,0
SGL_RS09045,0.0,0.0,0
SGL_RS07665,0.0,0.0,0
SGL_RS09035,0.0,0.0,0
SGL_RS14000,0.0,0.0,0
SGL_RS03245,0.0,0.0,0
SGL_RS11390,0.0,0.0,0
SGL_RS09040,0.0,0.0,0
